trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
291,2,20190101,238,41,1,1,1,1.69,7.5,10.56,NO,7
292,2,20190101,151,243,2,1,1,4.73,16.0,17.3,NO,14
293,2,20190101,142,90,2,1,1,3.13,15.0,16.3,NO,21
294,2,20190101,90,79,2,1,1,2.07,12.0,13.3,NO,16
295,1,20190101,90,107,1,1,1,1.1,8.5,11.75,NO,12
296,1,20190101,170,186,1,1,2,0.9,9.0,12.35,NO,13
297,1,20190101,186,158,2,1,1,1.9,11.5,12.8,NO,15
298,2,20190101,138,138,2,1,1,31.57,82.5,83.8,NO,48
299,1,20190101,142,237,1,1,1,1.4,7.0,9.8,NO,6
300,1,20190101,142,233,1,1,2,2.6,11.0,15.35,NO,13
301,1,20190101,233,141,1,1,1,1.4,7.5,10.55,NO,8
302,1,20190101,141,162,2,1,3,1.4,7.5,8.8,NO,7
303,1,20190101,80,112,2,1,1,0.6,5.0,6.3,NO,4
304,1,20190101,189,33,2,1,1,6.5,24.0,25.3,YES,27
305,1,20190101,33,95,1,1,3,11.7,39.5,45.8,YES,41
306,1,20190101,74,151,2,1,1,2.5,11.0,12.3,NO,12
307,1,20190101,238,152,2,1,1,2.4,10.5,11.8,NO,11
308,2,20190101,237,229,2,1,4,0.79,5.5,6.8,NO,5
309,2,20190101,163,239,2,1,5,2.49,10.0,11.3,NO,10
310,2,20181231,141,229,2,1,1,1.06,6.0,7.3,NO,5
311,2,20190101,234,48,2,1,2,1.95,13.0,14.3,NO,19
312,1,20190101,161,170,2,1,1,1.0,7.5,8.8,NO,10
313,1,20190101,170,236,1,1,1,3.0,11.5,13.82,NO,13
314,1,20190101,237,112,1,1,1,4.6,16.0,20.75,NO,16
315,2,20190101,100,141,1,1,1,2.0,11.5,16.64,NO,17
316,2,20190101,229,236,2,1,1,1.85,8.0,9.3,NO,7
317,2,20190101,236,164,1,1,1,2.37,12.0,15.96,NO,17
318,1,20190101,263,48,2,1,1,3.5,21.5,22.8,NO,32
319,1,20190101,48,88,1,1,1,5.4,21.5,24.8,NO,27
320,1,20190101,181,225,1,1,1,4.2,16.0,19.3,NO,18
321,2,20190101,262,224,2,1,1,3.23,11.0,12.3,NO,6
322,2,20190101,162,141,1,1,1,1.4,7.0,9.96,NO,6
323,2,20190101,263,236,2,1,1,0.88,6.0,7.3,NO,5
324,1,20190101,163,237,2,1,1,1.5,6.5,7.8,NO,6
325,1,20190101,237,113,2,1,2,3.6,15.5,16.8,NO,21
326,1,20190101,113,33,1,1,2,3.6,14.0,19.1,NO,17
327,2,20190101,236,229,2,1,1,1.96,8.5,9.8,NO,9
328,2,20190101,262,148,1,1,5,5.1,18.5,24.75,NO,16
329,2,20190101,148,4,1,1,5,0.72,5.0,7.56,NO,4
330,2,20190101,79,186,1,1,5,1.93,10.5,15.34,NO,14
331,2,20190101,90,249,1,1,5,0.85,6.5,9.75,NO,8
332,1,20190101,114,95,1,1,2,11.2,37.5,57.91,NO,40
333,1,20190101,264,264,2,1,3,2.9,12.5,13.8,NO,16
334,1,20190101,264,264,2,1,2,1.3,9.5,10.8,NO,13
335,1,20190101,264,264,2,1,2,7.0,27.5,28.8,NO,34
336,2,20190101,132,226,1,1,3,14.87,40.0,49.56,NO,22
337,2,20190101,161,233,2,1,1,0.79,5.5,6.8,NO,6
338,2,20190101,43,238,2,1,1,1.7,7.5,8.8,NO,7
339,2,20190101,238,68,1,1,1,3.78,20.0,24.5,NO,29
340,2,20190101,236,141,2,1,1,1.25,6.5,7.8,NO,7
341,2,20190101,236,229,1,1,1,1.93,7.5,10.56,NO,8
342,2,20190101,229,162,2,1,1,1.13,7.0,8.3,NO,7
