trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
666,1,20190101,90,107,2,1,1,1.1,11.0,12.3,NO,16
667,1,20190101,132,189,1,1,1,19.0,52.5,61.8,NO,33
668,1,20190101,170,79,1,1,1,2.0,8.5,10.78,NO,9
669,1,20190101,79,209,2,1,2,2.6,11.5,12.8,NO,12
670,1,20190101,209,231,1,1,2,0.8,7.0,9.3,NO,8
671,2,20190101,68,209,2,1,6,2.84,13.5,14.8,NO,19
672,1,20190101,79,196,2,1,1,8.9,26.5,27.8,NO,19
673,1,20190101,196,173,2,1,1,1.3,8.0,9.3,NO,9
674,1,20190101,75,75,2,1,3,0.1,3.0,4.3,NO,1
675,1,20190101,74,119,1,1,2,3.7,14.0,16.3,NO,14
676,1,20190101,142,244,1,1,1,6.0,19.5,24.95,NO,16
677,1,20190101,116,116,2,1,1,0.3,4.0,5.3,NO,2
678,1,20190101,152,75,2,1,1,2.7,13.0,14.3,NO,16
679,2,20190101,142,143,1,1,2,0.86,5.5,8.16,NO,5
680,2,20190101,142,141,1,1,2,1.37,6.5,9.36,NO,6
681,2,20190101,43,141,1,1,3,1.8,8.0,11.3,NO,8
682,2,20190101,237,263,1,1,3,1.45,6.5,9.36,NO,5
683,1,20190101,237,233,2,1,2,1.8,9.5,10.8,NO,11
684,1,20190101,170,230,2,1,4,0.8,9.0,10.3,NO,13
685,1,20190101,230,48,2,1,2,1.6,10.5,11.8,NO,15
686,2,20190101,158,50,1,1,1,2.61,10.0,15.18,NO,10
687,2,20190101,50,212,2,1,1,11.71,37.5,38.8,NO,38
688,2,20190101,166,141,1,1,1,3.74,14.0,18.36,NO,14
689,2,20190101,141,107,2,1,1,4.02,15.5,16.8,NO,15
690,2,20190101,107,137,1,1,1,0.76,5.5,8.16,NO,6
691,2,20190101,141,166,2,1,1,4.06,14.5,15.8,NO,15
692,2,20190101,161,234,1,1,1,1.5,13.0,15.73,NO,20
693,1,20190101,141,263,1,1,1,1.3,6.0,8.3,NO,4
694,1,20190101,262,236,1,1,1,0.6,5.0,7.55,NO,4
695,1,20190101,237,239,1,1,1,1.4,6.5,9.75,NO,6
696,1,20190101,239,143,1,1,1,0.8,6.0,7.3,NO,6
697,2,20190101,142,246,2,1,2,1.91,10.5,11.8,NO,14
698,2,20190101,246,263,1,1,2,3.71,15.5,17.64,NO,19
699,1,20190101,79,141,2,1,1,2.8,10.5,11.8,NO,10
700,1,20190101,141,90,1,1,2,3.2,27.0,29.3,NO,46
701,2,20190101,79,148,2,1,1,0.3,4.0,5.3,NO,2
702,2,20190101,148,79,1,1,1,1.12,6.5,9.36,NO,7
703,2,20190101,79,164,1,1,1,1.53,10.0,13.56,NO,14
704,1,20190101,237,236,2,1,1,1.3,6.0,7.3,NO,5
705,1,20190101,43,162,2,1,2,1.1,7.5,8.8,NO,9
706,2,20190101,48,225,2,1,5,9.28,41.0,42.3,NO,57
707,2,20190101,151,244,2,1,3,3.28,13.0,14.3,NO,12
708,1,20190101,230,143,1,1,1,1.9,11.0,15.35,NO,14
709,1,20190101,74,42,2,1,1,1.9,8.5,9.8,NO,8
710,1,20190101,238,48,1,1,2,2.1,8.5,9.8,NO,7
711,1,20190101,48,41,1,1,1,3.6,12.5,16.15,NO,11
712,1,20190101,239,137,1,1,1,4.2,17.0,18.3,NO,20
713,1,20190101,140,243,1,1,2,8.8,25.5,32.15,NO,17
714,1,20190101,244,41,1,1,2,3.2,13.0,17.15,NO,15
715,1,20190101,41,236,1,1,3,2.0,9.5,12.95,NO,10
716,2,20190101,249,143,1,1,1,3.7,15.5,20.16,NO,18
717,2,20190101,143,224,1,1,1,4.19,19.5,22.8,NO,27
718,2,20190101,239,151,1,1,2,1.01,6.0,8.76,NO,5
719,2,20190101,151,236,1,1,1,1.93,9.0,12.36,NO,9
720,2,20190101,161,263,2,1,2,1.96,8.0,9.3,NO,7
721,2,20190101,90,68,2,1,1,1.37,11.0,12.3,NO,16
722,2,20190101,161,48,2,1,2,3.02,20.0,21.3,NO,32
723,2,20190101,48,224,1,1,2,3.34,19.0,24.36,NO,29
724,1,20190101,233,79,2,1,1,2.9,13.0,14.3,NO,16
725,1,20190101,79,100,1,1,1,2.5,11.0,14.15,NO,13
